Point,Date / Time(GMT+01:00),Primary (° C): Ambient,Alarms,
1,12/14/2016 11:15:24 AM,5.1,,
2,12/14/2016 11:30:24 AM,5.1,,
3,12/14/2016 11:45:24 AM,5.1,,
4,12/14/2016 12:00:24 PM,5.1,,
5,12/14/2016 12:15:24 PM,5.1,,
6,12/14/2016 12:30:24 PM,5.1,,
7,12/14/2016 12:45:24 PM,4.9,,
8,12/14/2016 1:00:24 PM,5.2,,
9,12/14/2016 1:15:24 PM,5.1,,
10,12/14/2016 1:30:24 PM,5.0,,
11,12/14/2016 1:45:24 PM,6.4,,
12,12/14/2016 2:00:24 PM,5.7,,
13,12/14/2016 2:15:24 PM,5.3,,
14,12/14/2016 2:30:24 PM,5.3,,
15,12/14/2016 2:45:24 PM,5.6,,
16,12/14/2016 3:00:24 PM,5.2,,
17,12/14/2016 3:15:24 PM,5.3,,
18,12/14/2016 3:30:24 PM,5.3,,
19,12/14/2016 3:45:24 PM,5.6,,
20,12/14/2016 4:00:24 PM,5.2,,
21,12/14/2016 4:15:24 PM,5.4,,
22,12/14/2016 4:30:24 PM,5.5,,
23,12/14/2016 4:45:24 PM,5.5,,
24,12/14/2016 5:00:24 PM,5.3,,
25,12/14/2016 5:15:24 PM,5.5,,
26,12/14/2016 5:30:24 PM,5.3,,
27,12/14/2016 5:45:24 PM,5.3,,
28,12/14/2016 6:00:24 PM,4.9,,
29,12/14/2016 6:15:24 PM,5.1,,
30,12/14/2016 6:30:24 PM,4.6,,
31,12/14/2016 6:45:24 PM,4.7,,
32,12/14/2016 7:00:24 PM,4.6,,
33,12/14/2016 7:15:24 PM,4.7,,
34,12/14/2016 7:30:24 PM,4.4,,
35,12/14/2016 7:45:24 PM,4.7,,
36,12/14/2016 8:00:24 PM,4.8,,
37,12/14/2016 8:15:24 PM,4.7,,
38,12/14/2016 8:30:24 PM,4.5,,
39,12/14/2016 8:45:24 PM,4.4,,
40,12/14/2016 9:00:24 PM,4.9,,
41,12/14/2016 9:15:24 PM,4.7,,
42,12/14/2016 9:30:24 PM,4.6,,
43,12/14/2016 9:45:24 PM,4.4,,
44,12/14/2016 10:00:24 PM,4.3,,
45,12/14/2016 10:15:24 PM,4.6,,
46,12/14/2016 10:30:24 PM,4.6,,
47,12/14/2016 10:45:24 PM,4.8,,
48,12/14/2016 11:00:24 PM,4.7,,
49,12/14/2016 11:15:24 PM,4.8,,
50,12/14/2016 11:30:24 PM,4.7,,
51,12/14/2016 11:45:24 PM,4.3,,
52,12/15/2016 12:00:24 AM,4.3,,
53,12/15/2016 12:15:24 AM,4.6,,
54,12/15/2016 12:30:24 AM,4.7,,
55,12/15/2016 12:45:24 AM,4.3,,
56,12/15/2016 1:00:24 AM,4.7,,
57,12/15/2016 1:15:24 AM,4.6,,
58,12/15/2016 1:30:24 AM,4.4,,
59,12/15/2016 1:45:24 AM,4.7,,
60,12/15/2016 2:00:24 AM,4.3,,
61,12/15/2016 2:15:24 AM,4.7,,
62,12/15/2016 2:30:24 AM,4.5,,
63,12/15/2016 2:45:24 AM,4.7,,
64,12/15/2016 3:00:24 AM,4.3,,
65,12/15/2016 3:15:24 AM,4.7,,
66,12/15/2016 3:30:24 AM,4.4,,
67,12/15/2016 3:45:24 AM,4.6,,
68,12/15/2016 4:00:24 AM,4.4,,
69,12/15/2016 4:15:24 AM,5.0,,
70,12/15/2016 4:30:24 AM,4.9,,
71,12/15/2016 4:45:24 AM,4.4,,
72,12/15/2016 5:00:24 AM,5.4,,
73,12/15/2016 5:15:24 AM,5.3,,
74,12/15/2016 5:30:24 AM,4.8,,
75,12/15/2016 5:45:24 AM,5.2,,
76,12/15/2016 6:00:24 AM,5.1,,
77,12/15/2016 6:15:24 AM,5.4,,
78,12/15/2016 6:30:24 AM,5.1,,
79,12/15/2016 6:45:24 AM,5.0,,
80,12/15/2016 7:00:24 AM,5.2,,
81,12/15/2016 7:15:24 AM,5.4,,
82,12/15/2016 7:30:24 AM,5.5,,
83,12/15/2016 7:45:24 AM,5.3,,
84,12/15/2016 8:00:24 AM,5.4,,
85,12/15/2016 8:15:24 AM,5.2,,
86,12/15/2016 8:30:24 AM,4.9,,
87,12/15/2016 8:45:24 AM,5.2,,
88,12/15/2016 9:00:24 AM,4.9,,
89,12/15/2016 9:15:24 AM,5.4,,
90,12/15/2016 9:30:24 AM,5.3,,
91,12/15/2016 9:45:24 AM,4.9,,
92,12/15/2016 10:00:24 AM,5.1,,
